"id","x","y","mp","date","state","relevance","types"
28438237,14.457084,50.078284,"false","2025-09-12T13:45:00.0000+02:00",2,4,55
28438237,14.457084,50.078284,"false","2025-09-12T13:45:00.0000+02:00",2,4,58
28438663,14.495916,50.092888,"false","2025-09-12T13:30:00.0000+02:00",1,4,78
28438663,14.495916,50.092888,"false","2025-09-12T13:30:00.0000+02:00",1,4,97
28438663,14.495916,50.092888,"false","2025-09-12T13:30:00.0000+02:00",1,4,131
28441387,14.461137,50.078156,"false","2025-09-12T17:28:00.0000+02:00",1,4,77
28441387,14.461137,50.078156,"false","2025-09-12T17:28:00.0000+02:00",1,4,97
28441717,14.445977,50.088098,"false","2025-09-12T18:41:00.0000+02:00",1,4,74
28441717,14.445977,50.088098,"false","2025-09-12T18:41:00.0000+02:00",1,4,97
28441717,14.445977,50.088098,"false","2025-09-12T18:41:00.0000+02:00",1,4,120
28441718,14.473083,50.088168,"false","2025-09-12T18:52:00.0000+02:00",1,4,76
28441718,14.473083,50.088168,"false","2025-09-12T18:52:00.0000+02:00",1,4,97
28441718,14.473083,50.088168,"false","2025-09-12T18:52:00.0000+02:00",1,4,111
28442804,14.469256,50.088722,"false","2025-09-12T22:30:00.0000+02:00",1,4,74
28442804,14.469256,50.088722,"false","2025-09-12T22:30:00.0000+02:00",1,4,97
28442804,14.469256,50.088722,"false","2025-09-12T22:30:00.0000+02:00",1,4,120
28443704,14.471706,50.083532,"false","2025-09-12T22:05:00.0000+02:00",1,4,74
28443704,14.471706,50.083532,"false","2025-09-12T22:05:00.0000+02:00",1,4,97
28443704,14.471706,50.083532,"false","2025-09-12T22:05:00.0000+02:00",1,4,120
28444589,14.495916,50.092888,"false","2025-09-12T23:30:00.0000+02:00",1,4,74
28444589,14.495916,50.092888,"false","2025-09-12T23:30:00.0000+02:00",1,4,97
28444589,14.495916,50.092888,"false","2025-09-12T23:30:00.0000+02:00",1,4,120
28445055,14.469843,50.091922,"false","2025-09-13T10:00:00.0000+02:00",2,2,35
28445055,14.469843,50.091922,"false","2025-09-13T10:00:00.0000+02:00",2,2,43
28445059,14.465958,50.091300,"false","2025-09-13T09:35:00.0000+02:00",2,4,77
28445059,14.465958,50.091300,"false","2025-09-13T09:35:00.0000+02:00",2,4,97
28445858,14.464870,50.087702,"false","2025-09-13T12:03:00.0000+02:00",2,4,35
28445858,14.464870,50.087702,"false","2025-09-13T12:03:00.0000+02:00",2,4,41
28445970,14.495916,50.092888,"false","2025-09-12T13:30:00.0000+02:00",1,4,78
28445970,14.495916,50.092888,"false","2025-09-12T13:30:00.0000+02:00",1,4,97
28445970,14.495916,50.092888,"false","2025-09-12T13:30:00.0000+02:00",1,4,131
28445974,14.477874,50.096225,"false","2025-09-13T11:30:00.0000+02:00",2,4,77
28445974,14.477874,50.096225,"false","2025-09-13T11:30:00.0000+02:00",2,4,97
28446594,14.461137,50.078156,"false","2025-09-13T08:50:00.0000+02:00",1,4,74
28446594,14.461137,50.078156,"false","2025-09-13T08:50:00.0000+02:00",1,4,97
28446594,14.461137,50.078156,"false","2025-09-13T08:50:00.0000+02:00",1,4,120
28447499,14.448420,50.082480,"false","2025-09-13T16:36:00.0000+02:00",2,4,77
28447499,14.448420,50.082480,"false","2025-09-13T16:36:00.0000+02:00",2,4,97
28447643,14.453379,50.087124,"false","2025-09-13T15:50:00.0000+02:00",1,4,74
28447643,14.453379,50.087124,"false","2025-09-13T15:50:00.0000+02:00",1,4,97
28447643,14.453379,50.087124,"false","2025-09-13T15:50:00.0000+02:00",1,4,120
28447904,14.464011,50.083213,"false","2025-09-13T09:00:00.0000+02:00",1,4,78
28447904,14.464011,50.083213,"false","2025-09-13T09:00:00.0000+02:00",1,4,97
28447904,14.464011,50.083213,"false","2025-09-13T09:00:00.0000+02:00",1,4,131
28448867,14.455574,50.081818,"false","2025-09-13T14:45:00.0000+02:00",1,4,77
28448867,14.455574,50.081818,"false","2025-09-13T14:45:00.0000+02:00",1,4,97
28449299,14.459320,50.082914,"false","2025-09-13T15:58:00.0000+02:00",1,4,74
28449299,14.459320,50.082914,"false","2025-09-13T15:58:00.0000+02:00",1,4,97
28449299,14.459320,50.082914,"false","2025-09-13T15:58:00.0000+02:00",1,4,120
28449378,14.444746,50.082555,"false","2025-09-13T18:50:00.0000+02:00",2,4,77
28449378,14.444746,50.082555,"false","2025-09-13T18:50:00.0000+02:00",2,4,97
28449635,14.489863,50.091089,"false","2025-09-13T20:43:00.0000+02:00",1,4,76
28449635,14.489863,50.091089,"false","2025-09-13T20:43:00.0000+02:00",1,4,97
28449635,14.489863,50.091089,"false","2025-09-13T20:43:00.0000+02:00",1,4,107
28450168,14.453379,50.087124,"false","2025-09-13T22:14:00.0000+02:00",1,4,76
28450168,14.453379,50.087124,"false","2025-09-13T22:14:00.0000+02:00",1,4,97
28450168,14.453379,50.087124,"false","2025-09-13T22:14:00.0000+02:00",1,4,107
28450657,14.456068,50.083798,"false","2025-09-13T21:53:00.0000+02:00",2,4,74
28450657,14.456068,50.083798,"false","2025-09-13T21:53:00.0000+02:00",2,4,75
28450657,14.456068,50.083798,"false","2025-09-13T21:53:00.0000+02:00",2,4,97
28450657,14.456068,50.083798,"false","2025-09-13T21:53:00.0000+02:00",2,4,112
28450657,14.456068,50.083798,"false","2025-09-13T21:53:00.0000+02:00",2,4,113
28450657,14.456068,50.083798,"false","2025-09-13T21:53:00.0000+02:00",2,4,120
28451231,14.453620,50.084785,"false","2025-09-14T04:10:00.0000+02:00",1,4,76
28451231,14.453620,50.084785,"false","2025-09-14T04:10:00.0000+02:00",1,4,97
28451231,14.453620,50.084785,"false","2025-09-14T04:10:00.0000+02:00",1,4,111
28451580,14.461137,50.078156,"false","2025-09-13T14:15:00.0000+02:00",1,4,77
28451580,14.461137,50.078156,"false","2025-09-13T14:15:00.0000+02:00",1,4,97
28451901,14.485326,50.085541,"false","2025-09-14T08:10:00.0000+02:00",2,4,35
28451901,14.485326,50.085541,"false","2025-09-14T08:10:00.0000+02:00",2,4,43
28451901,14.485326,50.085541,"false","2025-09-14T08:10:00.0000+02:00",2,4,55
28451901,14.485326,50.085541,"false","2025-09-14T08:10:00.0000+02:00",2,4,58
28452416,14.461137,50.078156,"false","2025-09-14T09:56:00.0000+02:00",2,4,77
28452416,14.461137,50.078156,"false","2025-09-14T09:56:00.0000+02:00",2,4,97
28453351,14.455574,50.081818,"false","2025-09-14T13:49:00.0000+02:00",2,4,77
28453351,14.455574,50.081818,"false","2025-09-14T13:49:00.0000+02:00",2,4,97
28453551,14.449456,50.086813,"false","2025-09-14T13:07:00.0000+02:00",2,4,77
28453551,14.449456,50.086813,"false","2025-09-14T13:07:00.0000+02:00",2,4,97
28453610,14.461249,50.088981,"false","2025-09-14T13:42:00.0000+02:00",2,4,77
28453610,14.461249,50.088981,"false","2025-09-14T13:42:00.0000+02:00",2,4,97
28453670,14.449981,50.084519,"false","2025-09-14T10:45:00.0000+02:00",1,4,78
28453670,14.449981,50.084519,"false","2025-09-14T10:45:00.0000+02:00",1,4,97
28453670,14.449981,50.084519,"false","2025-09-14T10:45:00.0000+02:00",1,4,131
28453945,14.461137,50.078156,"false","2025-09-14T15:15:00.0000+02:00",1,4,77
28453945,14.461137,50.078156,"false","2025-09-14T15:15:00.0000+02:00",1,4,97
28454073,14.461137,50.078156,"false","2025-09-14T14:41:00.0000+02:00",1,4,1
